,titles,links,time,media
11,《 洛 杉 磯 時 報 》 ： 台 灣 選 民 面 臨 兩 難 抉 擇,https://tw.appledaily.com/international/realtime/20200110/1688974/,2020/1/10,Apple Daily
12,【 新 北 選 前 之 夜 】 余 天 泣 謝 三 重 　 「 無 論 結 果 與 三 重 感 情 永 存 」,https://tw.appledaily.com/local/realtime/20200110/1689349/,2020/1/10,Apple Daily
13,羅 世 宏 ： 兩 種 亡 國 感 的 對 決 ， 豈 有 贏 家 ？,https://www.appledaily.com.tw/realtimenews/article/new/20200110/1689272/,2020/1/10,Apple Daily
14,凱 道 造 勢 可 容 納 多 少 人 ？ 　 數 學 老 師 ： 最 多 6 . 9 萬 人,https://tw.appledaily.com/politics/realtime/20200110/1689176/,2020/1/10,Apple Daily
15,【 國 民 黨 選 前 之 夜 】 吳 敦 義 喊 話 「 下 架 空 心 菜 」 　 連 勝 文 偕 蔡 依 珊 現 身 挺 韓 國 瑜,https://tw.appledaily.com/politics/realtime/20200110/1688194/,2020/1/10,Apple Daily
16,【 民 眾 黨 選 前 之 夜 】 柯 P 大 噴 發 　 左 批 韓 罵 《 蘋 果 》 不 會 發 大 財 、 右 損 小 英 菜 包 讀 稿 機,https://tw.appledaily.com/life/realtime/20200110/1688460/,2020/1/10,Apple Daily
17,【 新 北 選 前 之 夜 】 賴 清 德 壓 軸 掀 高 潮 　 高 呼 「 三 張 選 票 顧 台 灣 」,https://tw.appledaily.com/politics/realtime/20200110/1689140/,2020/1/10,Apple Daily
18,澎 湖 選 前 藍 綠 最 後 拚 場 　 千 人 街 頭 遊 行 拜 票,https://tw.appledaily.com/politics/realtime/20200110/1689378/,2020/1/10,Apple Daily
19,【 選 前 之 夜 】 蔡 英 文 高 雄 場 喊 破 3 0 萬 人 　 「 韓 國 瑜 當 選 、 中 國 最 高 興 」,https://tw.appledaily.com/politics/realtime/20200110/1688404/,2020/1/10,Apple Daily
20,【 花 蓮 選 前 之 夜 】 三 腳 督 強 碰 市 區 金 三 角 　 藍 綠 竟 同 喊 「 打 倒 花 蓮 王 」,https://tw.news.appledaily.com/local/realtime/20200110/1689364/,2020/1/10,Apple Daily
21,【 台 東 選 前 之 夜 】 雨 中 掃 街 熱 情 不 減 　 藍 綠 陣 營 造 勢 拚 場,https://tw.news.appledaily.com/local/realtime/20200110/1689390/,2020/1/10,Apple Daily
22,陳 文 卿 ： 選 戰 結 束 ， 循 環 經 濟 不 要 結 束,https://www.appledaily.com.tw/realtimenews/article/new/20200110/1689296/,2020/1/10,Apple Daily
23,選 前 之 夜 外 媒 關 注 　 美 聯 社 開 兩 現 場 直 播,https://tw.news.appledaily.com/international/realtime/20200110/1689391/,2020/1/10,Apple Daily
24,【 花 蓮 立 委 】 花 蓮 掃 街 輔 選 傅 崐 萁 　 張 善 政 ： 明 天 要 讓 英 文 變 國 語,https://tw.news.appledaily.com/local/realtime/20200110/1689022/,2020/1/10,Apple Daily
25,藍 綠 高 雄 拚 場 維 安 等 級 升 高 　 警 設 安 檢 門 出 動 防 爆 犬,https://tw.news.appledaily.com/politics/realtime/20200110/1689322/,2020/1/10,Apple Daily
26,台 灣 面 臨 選 邊 站 壓 力 　 彭 博 ： 選 票 映 照 美 中 角 力,https://tw.finance.appledaily.com/realtime/20200110/1689280/,2020/1/10,Apple Daily
27,【 最 後 衝 刺 】 蔡 英 文 、 賴 清 德 合 體 車 隊 狂 掃 台 北 市 　 英 粉 舉 彩 虹 旗 吶 喊 嗨 翻 天,https://tw.news.appledaily.com/politics/realtime/20200110/1689259/,2020/1/10,Apple Daily
28,親 民 黨 北 市 掃 街 橘 旗 飄 揚 　 宋 楚 瑜 再 嗆 韓 國 瑜 ： 跳 槽 選 總 統 沒 正 當 性,https://tw.news.appledaily.com/politics/realtime/20200110/1689137/,2020/1/10,Apple Daily
29,緊 急 修 補 郭 柯 宋 關 係 　 郭 台 銘 臉 書 強 打 「 中 道 力 量 」 價 值,https://tw.news.appledaily.com/politics/realtime/20200110/1689269/,2020/1/10,Apple Daily
30,【 不 勉 強 】 郭 台 銘 不 去 民 眾 黨 選 前 之 夜 　 感 謝 趙 少 康 給 政 黨 票 空 間,https://tw.news.appledaily.com/politics/realtime/20200110/1688856/,2020/1/10,Apple Daily
31,【 總 統 大 選 】 逾 3 0 0 位 國 際 學 者 媒 體 來 台 觀 選 　 中 國 與 港 、 澳 觀 選 團 超 過 3 0 團,https://tw.news.appledaily.com/politics/realtime/20200110/1689196/,2020/1/10,Apple Daily
32,蔡 英 文 新 北 輔 選 　 舉 標 語 熱 情 回 應 支 持 者,https://tw.news.appledaily.com/politics/realtime/20200110/1689033/,2020/1/10,Apple Daily
33,卓 榮 泰 ： 若 中 彰 投 贏 　 民 進 黨 立 委 席 次 將 過 半,https://tw.news.appledaily.com/politics/realtime/20200110/1689055/,2020/1/10,Apple Daily
34,【 南 投 立 委 】 藍 營 長 期 執 政 　 綠 營 突 圍 需 年 輕 選 票 加 持,https://tw.news.appledaily.com/local/realtime/20200110/1688386/,2020/1/10,Apple Daily
35,【 馬 祖 立 委 】 5 選 將 決 戰 1 席 　 老 將 新 秀 搶 當 攔 路 虎,https://tw.news.appledaily.com/local/realtime/20200110/1688079/,2020/1/10,Apple Daily
36,連 勝 文 ： 投 韓 不 用 喜 歡 他 　 打 恐 嚇 牌 「 投 蔡 放 棄 健 康 」,https://tw.news.appledaily.com/politics/realtime/20200110/1689133/,2020/1/10,Apple Daily
37,【 台 中 立 委 】 洪 慈 庸 力 抗 「 復 仇 女 王 」 楊 瓊 瓔 　 藍 綠 席 次 恐 互 換,https://tw.news.appledaily.com/local/realtime/20200110/1688907/,2020/1/10,Apple Daily
38,港 人 自 費 來 台 感 受 真 民 主 　 高 喊 「 光 復 香 港 」 不 怕 被 抓,https://tw.news.appledaily.com/politics/realtime/20200110/1689143/,2020/1/10,Apple Daily
39,【 名 嘴 表 態 】 羅 友 志 挺 韓 「 西 天 取 經 」 　 苦 苓 選 英 ： 投 給 台 灣 主 權,https://tw.news.appledaily.com/politics/realtime/20200110/1689135/,2020/1/10,Apple Daily
40,【 花 蓮 立 委 】 傅 崐 萁 搶 當 正 藍 戰 將 　 籲 選 民 送 最 強 的 人 進 國 會,https://tw.news.appledaily.com/local/realtime/20200110/1688936/,2020/1/10,Apple Daily
41,【 台 北 立 委 】 昶 佐 郁 方 雙 林 割 喉 戰 　 立 信 坐 等 漁 翁 之 利,https://tw.news.appledaily.com/local/realtime/20200110/1689131/,2020/1/10,Apple Daily
42,蔡 韓 今 晚 高 雄 尬 場 　 2 千 警 力 維 安 ！ 禁 用 空 拍 機,https://tw.news.appledaily.com/politics/realtime/20200110/1689099/,2020/1/10,Apple Daily
43,宋 楚 瑜 新 北 輔 選 李 正 皓 　 開 砲 猛 轟 國 民 黨,https://tw.news.appledaily.com/local/realtime/20200110/1689112/,2020/1/10,Apple Daily
44,台 灣 大 選 為 何 重 要 ？ 　 路 透 列 出 4 大 Q & A 說 明,https://tw.news.appledaily.com/international/realtime/20200110/1689100/,2020/1/10,Apple Daily
45,蔡 英 文 今 晚 府 前 晚 會 衝 刺 　 綠 營 ： 不 跟 風 喊 數 字 但 會 讓 凱 道 大 爆 滿,https://tw.news.appledaily.com/politics/realtime/20200110/1689121/,2020/1/10,Apple Daily
46,【 屏 東 立 委 】 拉 琴 拜 票 手 受 傷 　 蔣 月 惠 表 態 挺 蔡 英 文 連 任,https://tw.news.appledaily.com/local/realtime/20200110/1689071/,2020/1/10,Apple Daily
47,「 真 的 羨 慕 你 們 ！ 」 香 港 學 民 女 神 喊 話 ： 台 灣 加 油,https://tw.news.appledaily.com/politics/realtime/20200110/1689026/,2020/1/10,Apple Daily
48,【 U 默 片 】 候 選 人 辯 論 神 剪 5 分 半 鐘 　 韓 總 榮 登 電 視 笑 話 冠 軍,https://tw.news.appledaily.com/politics/realtime/20200110/1687583/,2020/1/10,Apple Daily
49,【 苗 栗 立 委 】 藍 營 長 期 佔 上 風 　 綠 軍 直 追 拚 翻 轉,https://tw.news.appledaily.com/local/realtime/20200110/1688020/,2020/1/10,Apple Daily
50,【 民 眾 黨 選 情 ／ 分 析 】 關 鍵 倒 數 狂 催 賭 爛 藍 綠 柯 粉 　 投 票 率 衝 6 5 ％ 可 固 票 源,https://tw.news.appledaily.com/life/realtime/20200110/1688107/,2020/1/10,Apple Daily
51,楊 秋 興 表 態 總 統 票 投 蔡 英 文 　 批 韓 國 瑜 品 行 不 端,https://tw.news.appledaily.com/politics/realtime/20200110/1688998/,2020/1/10,Apple Daily
52,美 學 者 ： 北 京 為 台 灣 非 官 方 參 選 人 　 正 進 行 訊 息 戰,https://tw.news.appledaily.com/international/realtime/20200110/1689083/,2020/1/10,Apple Daily
53,【 高 雄 立 委 】 綠 營 八 仙 拚 連 任 　 韓 市 長 請 假 選 總 統 拖 累 藍 營 局 勢,https://tw.news.appledaily.com/local/realtime/20200110/1688342/,2020/1/10,Apple Daily
54,陳 致 中 憂 「 不 投 票 就 是 投 給 共 產 黨 」 　 劉 家 昌 喊 ： 讓 韓 拿 回 中 華 民 國,https://tw.news.appledaily.com/politics/realtime/20200110/1689048/,2020/1/10,Apple Daily
55,【 總 估 立 委 席 次 】 藍 上 看 5 8 席 ！ 綠 力 保 現 有 6 8 席 　 民 眾 黨 「 連 5 席 都 很 危 險 」,https://tw.news.appledaily.com/politics/realtime/20200110/1685082/,2020/1/10,Apple Daily
56,【 名 采 】 蘭 萱 專 欄 ： 當 政 客 集 體 失 憶 失 語,https://www.appledaily.com.tw/realtimenews/article/new/20200110/1688887/,2020/1/10,Apple Daily
57,【 嘉 市 立 委 】 創 歷 年 紀 錄 八 搶 一 　 五 議 員 換 跑 道 摩 拳 擦 掌,https://tw.news.appledaily.com/local/realtime/20200110/1688680/,2020/1/10,Apple Daily
58,【 宜 蘭 立 委 】 立 委 6 搶 1 ！ 陳 歐 珀 求 3 連 霸 　 藍 營 兄 弟 分 裂 選 情 憂,https://tw.news.appledaily.com/local/realtime/20200110/1684945/,2020/1/10,Apple Daily
59,【 彰 化 立 委 】 四 大 選 區 戰 情 膠 著 　 藍 營 「 復 仇 」 需 派 系 整 合 成 功,https://tw.news.appledaily.com/local/realtime/20200110/1688690/,2020/1/10,Apple Daily
60,拚 政 黨 票 過 門 檻 　 台 灣 基 進 空 戰 轉 陸 戰,https://tw.news.appledaily.com/politics/realtime/20200110/1689017/,2020/1/10,Apple Daily
61,韓 國 瑜 選 前 之 夜 高 雄 造 勢 　 韓 辦 ： 沒 有 邀 請 周 美 青,https://tw.news.appledaily.com/politics/realtime/20200110/1689042/,2020/1/10,Apple Daily
62,【 選 前 焦 慮 】 宅 神 籲 「 別 和 家 人 吵 架 」 　 洪 智 坤 ： 可 以 緊 張 但 不 必 恐 慌,https://tw.news.appledaily.com/politics/realtime/20200110/1689025/,2020/1/10,Apple Daily
63,【 雲 林 立 委 】 張 家 班 箭 指 綠 營 基 本 盤 　 年 輕 選 票 決 勝 負,https://tw.news.appledaily.com/local/realtime/20200110/1688590/,2020/1/10,Apple Daily
64,韓 流 爆 發 ！ 游 盈 隆 ： 蔡 英 文 該 慶 幸 選 戰 剩 不 到 2 天,https://tw.news.appledaily.com/politics/realtime/20200110/1689014/,2020/1/10,Apple Daily
65,選 前 最 後 衝 刺 時 間 　 蔡 英 文 都 留 給 吳 怡 農,https://tw.news.appledaily.com/politics/realtime/20200110/1689024/,2020/1/10,Apple Daily
66,【 台 南 立 委 】 綠 營 盼 六 席 全 壘 打 　 謝 龍 介 誓 言 ： 至 少 搶 下 一 席,https://tw.news.appledaily.com/local/realtime/20200110/1688736/,2020/1/10,Apple Daily
67,【 竹 市 立 委 】 「 三 腳 督 」 態 勢 陷 膠 著 　 時 力 女 將 刮 分 藍 綠 選 票,https://tw.news.appledaily.com/local/realtime/20200110/1682668/,2020/1/10,Apple Daily
68,【 桃 園 立 委 】 3 3 人 搶 6 席 立 委 寶 座 　 藍 綠 皆 自 估 「 坐 四 望 五 」,https://tw.news.appledaily.com/local/realtime/20200110/1686274/,2020/1/10,Apple Daily
69,【 選 前 喊 話 】 蔡 英 文 列 「 4 不 」 呼 籲 英 粉 　 韓 國 瑜 感 性 「 謝 謝 每 一 個 你 」,https://tw.news.appledaily.com/politics/realtime/20200110/1689004/,2020/1/10,Apple Daily
70,昨 參 加 第 5 8 場 韓 粉 造 勢 ！ 四 叉 貓 搭 高 鐵 回 高 雄 了,https://tw.news.appledaily.com/politics/realtime/20200110/1688984/,2020/1/10,Apple Daily
71,【 台 北 立 委 】 蔣 萬 安 打 陸 戰 勤 跑 基 層 　 吳 怡 農 挾 高 聲 量 步 步 進 逼,https://tw.news.appledaily.com/politics/realtime/20200110/1687325/,2020/1/10,Apple Daily
72,【 台 北 立 委 2 】 最 後 衝 刺 ！ 4 選 區 「 壕 溝 戰 」 　 女 神 雙 帥 廝 殺 最 烈,https://tw.news.appledaily.com/life/realtime/20200110/1688103/,2020/1/10,Apple Daily
73,【 台 北 立 委 1 】 藍 綠 歸 隊 小 黨 沒 輒 ！ 　 藍 坐 6 望 7 、 綠 保 2 加 1,https://tw.news.appledaily.com/life/realtime/20200110/1688100/,2020/1/10,Apple Daily
74,中 國 統 戰 力 太 大 　 加 拿 大 專 家 媒 體 來 台 看 「 主 權 關 鍵 選 戰 」,https://tw.news.appledaily.com/international/realtime/20200110/1688979/,2020/1/10,Apple Daily
75,楊 秋 興 表 態 「 請 大 家 票 投 蔡 英 文 」 　 列 5 點 反 對 韓 國 瑜,https://tw.news.appledaily.com/politics/realtime/20200110/1688982/,2020/1/10,Apple Daily
76,【 各 自 催 票 】 財 經 網 美 號 召 「 今 晚 擠 爆 凱 道 」 　 黃 暐 瀚 疾 呼 「 國 民 黨 最 後 機 會 」,https://tw.news.appledaily.com/politics/realtime/20200110/1688981/,2020/1/10,Apple Daily
77,恐 影 響 選 舉 ！ 澳 媒 ： 警 緊 急 向 台 灣 簡 報 王 立 強 受 威 脅 案,https://tw.news.appledaily.com/politics/realtime/20200110/1688977/,2020/1/10,Apple Daily
78,搶 票 決 戰   蔡 英 文   衝 投 票 率 「 不 出 來 投 票   就 是 別 人 決 定 你 的 未 來 」,https://tw.appledaily.com/headline/daily/20200110/38542384/,2020/1/10,Apple Daily
79,香 港 人 看 台 灣 藍 綠 ， 誰 是 爛 蘋 果 ？ （ 陳 成 斌 ）,https://tw.appledaily.com/headline/daily/20200110/38542759/,2020/1/10,Apple Daily
80,黃 國 昌 正 式 表 態 「 當 然 投 蔡 英 文 」,https://tw.appledaily.com/headline/daily/20200110/38542707/,2020/1/10,Apple Daily
81,趙 少 康 傳 真 ： 投 韓 不 投 韓 （ 趙 少 康 ）,https://tw.appledaily.com/headline/daily/20200110/38542781/,2020/1/10,Apple Daily
82,桃 竹 掃 街   蔡 ： 不 要 放 鬆   持 續 爭 票,https://tw.appledaily.com/headline/daily/20200110/38542391/,2020/1/10,Apple Daily
83,搶 票 決 戰   韓 國 瑜   挖 綠 營 票   「 中 南 部 最 支 持 民 進 黨   日 子 卻 過 最 苦 」,https://tw.appledaily.com/headline/daily/20200110/38542367/,2020/1/10,Apple Daily
84,【 選 前 之 夜 看 這 裡 】 吳 怡 農 主 持   千 席 搖 滾 區 秒 殺   邀 首 投 族 短 講 拉 票   滅 火 器 壓 軸 唱 競 選 歌,https://tw.appledaily.com/headline/daily/20200110/38542397/,2020/1/10,Apple Daily
85,王 立 強 受 脅   澳 警 查 蔡 正 元   蔡 正 元 控 邱 義 仁 資 助 王 立 強   邱 斥 「 無 稽 之 談 」,https://tw.appledaily.com/headline/daily/20200110/38542657/,2020/1/10,Apple Daily
86,「 0 ~ 6 歲 國 家 養 」 準 二 寶 媽 喊 需 配 套 彈 性 工 時   撒 錢 催 生 不 如 增 加 公 托,https://tw.appledaily.com/headline/daily/20200110/38542722/,2020/1/10,Apple Daily
87,【 蘋 果 擂 台 】 兩 陣 營 在 最 後 關 頭 如 何 有 效 催 票 ？,https://tw.appledaily.com/headline/daily/20200110/38542713/,2020/1/10,Apple Daily
88,外 媒 觀 察 台 灣 大 選 ： 選 民 重 視 經 濟 多 過 統 獨,https://tw.news.appledaily.com/international/realtime/20200110/1688967/,2020/1/10,Apple Daily
89,《 時 代 雜 誌 》 專 訪 蔡 總 統 　 聚 焦 中 國 壓 力 香 港 及 假 新 聞,https://tw.news.appledaily.com/international/realtime/20200110/1688959/,2020/1/10,Apple Daily
90,【 特 稿 】 挺 過 九 合 一 敗 選 和 初 選 危 機 　 蔡 英 文 求 勝 進 化 「 辣 台 妹 」,https://tw.news.appledaily.com/politics/realtime/20200110/1687064/,2020/1/10,Apple Daily
91,【 總 統 選 戰 】 黃 金 2 4 小 時 大 拚 場 ！ 蔡 英 文 台 灣 頭 尾 折 返 跑 　 韓 國 瑜 回 防 高 雄 、 宋 楚 瑜 鎖 定 雙 北,https://tw.news.appledaily.com/politics/realtime/20200110/1685975/,2020/1/10,Apple Daily
92,1 / 1 0 選 前 之 夜 　 直 播 鎖 定 果 燃 台,https://tw.news.appledaily.com/life/realtime/20200110/1687087/,2020/1/10,Apple Daily
93,韓 國 瑜 偕 妻 子 李 佳 芬 登 台 ！ 凱 道 現 場 喊 破 百 萬 人 　 韓 粉 瘋 狂 吶 喊 前 進 總 統 府,https://tw.news.appledaily.com/politics/realtime/20200109/1688672/,2020/1/9,Apple Daily
94,【 選 前 之 夜 】 「 英 德 配 」 兵 分 2 路 凱 道 大 合 體 　 1 0 大 亮 點 搶 先 看,https://tw.news.appledaily.com/politics/realtime/20200109/1688742/,2020/1/9,Apple Daily
95,為 林 昶 佐 賴 品 妤 站 台 　 蔡 英 文 ： 台 灣 接 受 一 國 兩 制 會 變 香 港,https://tw.news.appledaily.com/politics/realtime/20200109/1688935/,2020/1/9,Apple Daily
96,【 選 戰 觀 察 】 韓 國 瑜 凱 道 造 勢 成 功 　 藍 軍 氣 勢 大 振 喊 ： 勝 選 不 是 問 題,https://tw.news.appledaily.com/politics/realtime/20200109/1688927/,2020/1/9,Apple Daily
97,「 這 是 一 場 替 年 輕 人 打 的 選 戰 」 　 蔡 賴 基 隆 合 體 催 票,https://tw.news.appledaily.com/politics/realtime/20200109/1688926/,2020/1/9,Apple Daily
98,投 宋 就 是 投 韓 蔡 ？ 　 「 證 明 宋 楚 瑜 就 是 台 灣 最 大 公 約 數 」,https://tw.news.appledaily.com/politics/realtime/20200109/1688924/,2020/1/9,Apple Daily
99,民 主 聖 地 造 勢 晚 會 　 蔡 英 文 ： 宜 蘭 要 大 贏 ！,https://tw.news.appledaily.com/politics/realtime/20200109/1688874/,2020/1/9,Apple Daily
100,【 凱 道 晚 會 】 韓 國 瑜 批 民 進 黨 是 可 怕 大 野 狼 　 他 要 帶 領 台 灣 找 回 繁 榮 與 自 豪,https://tw.news.appledaily.com/politics/realtime/20200109/1688917/,2020/1/9,Apple Daily
101,港 湖 女 神 陷 苦 戰 　 高 嘉 瑜 ： 團 結 選 票 就 會 贏,https://tw.news.appledaily.com/life/realtime/20200109/1688869/,2020/1/9,Apple Daily
102,香 港 浸 大 陳 成 斌 ： 香 港 人 看 台 灣 藍 綠 ， 誰 是 爛 蘋 果 ？,https://www.appledaily.com.tw/realtimenews/article/new/20200109/1688717/,2020/1/9,Apple Daily
103,【 選 戰 觀 察 】 鄭 文 燦 、 林 智 堅 通 過 九 合 一 考 驗 　 桃 竹 人 氣 不 輸 蔡 英 文,https://tw.news.appledaily.com/politics/realtime/20200109/1688862/,2020/1/9,Apple Daily
104,台 大 選 倒 數 　 美 媒 聚 焦 中 國 威 脅 與 香 港 抗 爭 效 應,https://tw.news.appledaily.com/international/realtime/20200109/1688491/,2020/1/9,Apple Daily
105,趙 少 康 專 欄 ： 投 韓 不 投 韓,https://www.appledaily.com.tw/realtimenews/article/new/20200109/1688767/,2020/1/9,Apple Daily
106,趙 少 康 出 面 挺 韓 國 瑜 　 「 投 宋 楚 瑜 就 是 投 蔡 英 文 」,https://tw.news.appledaily.com/politics/realtime/20200109/1688860/,2020/1/9,Apple Daily
107,蔡 英 文 打 危 機 牌 ！ 國 民 黨 若 班 師 回 朝 　 「 中 國 政 府 、 黑 金 派 系 及 吳 斯 懷 們 」 也 會 一 起 回 來,https://tw.news.appledaily.com/politics/realtime/20200109/1688870/,2020/1/9,Apple Daily
108,【 劈 大 選 】 關 鍵 倒 數 ！ 衝 破 總 統 路 第 一 關 　 柯 P 預 測 ： 政 黨 票 「 不 會 藍 綠 歸 隊 」,https://tw.news.appledaily.com/life/realtime/20200109/1688226/,2020/1/9,Apple Daily
109,蘇 治 芬 爆 中 資 到 位 拋 錢 賄 選 影 片 　 檢 要 求 勿 公 布 又 下 架,https://tw.news.appledaily.com/politics/realtime/20200109/1688648/,2020/1/9,Apple Daily
110,選 戰 倒 數 催 票 　 昔 學 運 鐵 三 角 力 挺 台 中 綠 營 選 將,https://tw.news.appledaily.com/politics/realtime/20200109/1688865/,2020/1/9,Apple Daily
111,美 伊 衝 突 影 響 油 氣 輸 出 ？ 　 能 源 局 ： 國 內 油 氣 存 量 足,https://tw.news.appledaily.com/life/realtime/20200109/1688796/,2020/1/9,Apple Daily
112,韓 國 瑜 批 民 進 黨 像 「 金 光 黨 」 　 保 衛 中 華 民 國 人 人 有 責,https://tw.news.appledaily.com/politics/realtime/20200109/1688781/,2020/1/9,Apple Daily
113,​ 【 台 南 立 委 】 李 武 龍 控 栽 贓 買 票 　 郭 國 文 ： 澄 清 抹 黑 沒 指 名 道 姓,https://tw.news.appledaily.com/politics/realtime/20200109/1688689/,2020/1/9,Apple Daily
114,蔡 英 文 桃 園 車 隊 拜 票 　 與 民 眾 近 距 離 請 託,https://tw.news.appledaily.com/politics/realtime/20200109/1688683/,2020/1/9,Apple Daily
115,成 人 網 站 A V 0 1 表 態 挺 英 　 批 韓 粉 腦 殘 、 籲 拒 一 國 兩 制,https://tw.news.appledaily.com/politics/realtime/20200109/1688789/,2020/1/9,Apple Daily
116,《 蘋 果 》 追 真 相 ！ 　 查 無 澳 媒 稱 王 立 強 聲 紋 被 取 得 後 疑 遭 變 造,https://tw.news.appledaily.com/politics/realtime/20200109/1688583/,2020/1/9,Apple Daily
117,共 諜 王 立 強 案 懶 人 包 　 來 龍 去 脈 一 次 搞 懂,https://tw.news.appledaily.com/politics/realtime/20200109/1688737/,2020/1/9,Apple Daily
118,呼 籲 下 架 民 進 黨 　 馬 英 九 竹 縣 陪 林 為 洲 掃 街,https://tw.news.appledaily.com/politics/realtime/20200109/1688732/,2020/1/9,Apple Daily
119,賴 清 德 向 年 輕 人 催 票 　 「 還 在 哈 囉 ？ 要 回 家 投 票 」,https://tw.news.appledaily.com/politics/realtime/20200109/1688562/,2020/1/9,Apple Daily
120,批 蔡 正 元 擾 亂 選 舉 氣 氛 　 卓 榮 泰 「 他 就 是 這 種 水 平 」,https://tw.news.appledaily.com/politics/realtime/20200109/1688720/,2020/1/9,Apple Daily
121,總 統 大 選 決 戰 日 　 中 視 中 天 一 早 馬 拉 松 特 報,https://tw.entertainment.appledaily.com/realtime/20200109/1688710/,2020/1/9,Apple Daily
122,蔡 英 文 新 竹 掃 街 拚 輔 選 　 鄭 朝 方 送 特 調 香 氛 預 祝 「 勝 選 」,https://tw.news.appledaily.com/politics/realtime/20200109/1688610/,2020/1/9,Apple Daily
123,《 彭 博 》 打 小 英 成 績 單 　 成 長 率 四 小 龍 之 首 、 薪 資 仍 墊 底,https://tw.finance.appledaily.com/realtime/20200109/1688511/,2020/1/9,Apple Daily
124,選 前 抄 總 統 大 選 賭 盤 　 中 檢 起 訴 4 名 組 頭,https://tw.news.appledaily.com/local/realtime/20200109/1688650/,2020/1/9,Apple Daily
125,多 次 砲 轟 民 進 黨 　 黃 國 昌 表 態 ！ 「 總 統 投 蔡 英 文 」,https://tw.news.appledaily.com/politics/realtime/20200109/1688598/,2020/1/9,Apple Daily
126,力 挺 一 芳 被 批 　 郭 台 銘 嗆 蔡 英 文 「 敢 放 棄 中 國 內 銷 市 場 嗎 ？ 」,https://tw.news.appledaily.com/politics/realtime/20200109/1688512/,2020/1/9,Apple Daily
127,陳 建 仁 陪 蔡 培 慧 魚 池 老 家 掃 街 　 鞏 固 基 本 盤,https://tw.news.appledaily.com/politics/realtime/20200109/1688579/,2020/1/9,Apple Daily
128,【 0 ~ 6 歲 誰 來 養 3 】 生 育 問 題 「 3 不 2 沒 有 」 　 救 援 單 身 狗 才 能 救 國 家,https://tw.finance.appledaily.com/realtime/20200109/1684747/,2020/1/9,Apple Daily
129,【 0 ~ 6 歲 誰 來 養 2 】 綠 藍 橘 撒 幣 拼 選 票 　 親 民 黨 要 把 幼 稚 園 納 義 務 教 育,https://tw.finance.appledaily.com/realtime/20200109/1684751/,2020/1/9,Apple Daily
130,選 前 之 夜 決 戰 高 雄 　 綠 營 拚 2 0 萬 人 抗 韓 流,https://tw.news.appledaily.com/politics/realtime/20200109/1688548/,2020/1/9,Apple Daily
131,轟 綠 營 造 勢 沒 國 旗 　 張 善 政 ： 韓 國 瑜 才 真 正 捍 衛 中 華 民 國,https://tw.news.appledaily.com/politics/realtime/20200109/1688529/,2020/1/9,Apple Daily
